web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1767779644-160","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 25, 2025","605.00","605.00","600.00","605.00","596.66","4,200"
"1767779644-161","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 24, 2025","610.00","610.00","605.00","610.00","601.59","1,600"
"1767779644-162","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 23, 2025","605.00","615.00","595.00","615.00","606.52","34,600"
"1767779644-163","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 22, 2025","615.00","620.00","595.00","610.00","601.59","2,700"
"1767779644-164","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 21, 2025","620.00","620.00","585.00","620.00","611.46","20,300"
"1767779644-165","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 17, 2025","620.00","620.00","610.00","615.00","606.52","62,700"
"1767779644-166","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 16, 2025","595.00","620.00","585.00","620.00","611.46","579,200"
"1767779644-167","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 15, 2025","605.00","630.00","595.00","595.00","586.80","1,200"
"1767779644-168","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 14, 2025","580.00","610.00","580.00","605.00","596.66","2,000"
"1767779644-169","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 11, 2025","610.00","610.00","565.00","565.00","557.21","1,700"
"1767779644-170","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 10, 2025","620.00","620.00","605.00","620.00","611.46","15,000"
"1767779644-171","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 9, 2025","580.00","620.00","555.00","620.00","611.46","49,500"
"1767779644-172","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Apr 8, 2025","595.00","595.00","555.00","570.00","562.14","22,300"
"1767779644-173","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 27, 2025","600.00","600.00","580.00","595.00","586.80","4,200"
"1767779644-174","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 26, 2025","570.00","615.00","570.00","600.00","591.73","23,900"
"1767779644-175","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 25, 2025","600.00","610.00","520.00","520.00","512.83","35,500"
"1767779644-176","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 24, 2025","585.00","600.00","570.00","600.00","591.73","32,600"
"1767779644-177","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 21, 2025","595.00","610.00","575.00","605.00","596.66","26,200"
